Headlines,Time,Description
BlackRock's ETFs are getting cheaper—and retail investors are the winners," 1:42  PM ET Wed,  5 Oct 2016",Investing in low-cost ETFs is getting cheaper as the ETF price wars heat up.
"Cramer: With restaurants under pressure, this stock won't turn around"," 7:39  PM ET Tue,  4 Oct 2016","Jim Cramer rattles off his take on caller favorite stocks, including this restaurant stock feeling the pain."
Cramer Remix: This CEO is like a fine wine," 8:18  PM ET Tue,  4 Oct 2016","Jim Cramer sipped on stocks in San Francisco, offered his take on the market."
Mark Cuban points to machine learning as the next 'grand slam' in technology," 7:47  PM ET Tue,  4 Oct 2016","Billionaire Mark Cuban talks technology with Jim Cramer, and praises machine learning as the future of tech."
Billionaire Mark Cuban: Donald Trump is clearly ashamed of his failures," 7:33  PM ET Tue,  4 Oct 2016","Jim Cramer spoke with self-made billionaire Mark Cuban, who revealed why he supports Hillary Clinton."
"Cramer: How Salesforce can rival Amazon, Alphabet & Facebook at its own game"," 7:42  PM ET Tue,  4 Oct 2016","Jim Cramer eyes Twitter as a match for Salesforce, saying it could allow the company to beat the cloud competition."
,,
Here's why the 'earnings recession' may be about to end," 2:57  PM ET Tue,  4 Oct 2016","Investors have suffered through five straight quarters of earnings declines, but the profits recession may be ending soon."
Cramer Remix: Your survival guide for when the Fed raises rates," 7:03  PM ET Mon,  3 Oct 2016",Jim Cramer shares his best tips and tricks on the way to come out on top in a low-growth environment.
Cramer's 6 vital rules to short selling," 7:00  PM ET Mon,  3 Oct 2016",Jim Cramer shared his rules for short selling in a low-growth environment.
Cramer: Preparing for the Fed to tighten — your old trades won't work," 6:56  PM ET Mon,  3 Oct 2016",Jim Cramer plays out what the market will be like once the Federal Reserve raises interest rates.
Cramer: Don't fight the Fed! 4 misconceptions about higher rates," 6:45  PM ET Mon,  3 Oct 2016",Jim Cramer explains why fighting the Fed is a losing battle.
Cramer: We've missed the big move on Sarepta Therapeutics," 7:21  PM ET Fri, 30 Sept 2016","Jim Cramer provides his opinion on various stocks at lightning speed, including Sarepta Therapeutics."
Cramer Remix: A weak jobs number is a good thing," 9:54  AM ET Sat,  1 Oct 2016",Jim Cramer revealed why a disappointing jobs number could be a good thing for the market next week.
Cramer: Deutsche Bank was never in much danger," 7:26  PM ET Fri, 30 Sept 2016",Jim Cramer was not surprised to hear of a possible Deutsche Bank settlement. 
Cramer: Exchange stocks in the middle of a Wall Street renaissance," 7:25  PM ET Fri, 30 Sept 2016","Jim Cramer was shocked at the strong performance of exchange stocks, thanks to a recent wave of consolidation."
Cramer's game plan for the week ahead: The Fed could change its mind on this number," 8:27  AM ET Sat,  1 Oct 2016",Jim Cramer shares the stocks and events on his radar in the week ahead.
Cramer: Sell this energy stock tomorrow," 7:20  PM ET Thu, 29 Sept 2016",Jim Cramer goes through his lightning round of caller stocks at a rapid speed.
Cramer Remix: How to play oil after the OPEC announcement," 7:34  PM ET Thu, 29 Sept 2016",Jim Cramer exposed the truth behind the move in crude and the stocks that could be buys.
Cramer: China's game-changing comeback that no one is talking about," 6:50  PM ET Thu, 29 Sept 2016","Jim Cramer sees powerful signs that China is finally rebounding, and says this could be huge."
Cramer: OPEC deal a desperate attempt to control oil prices," 7:25  PM ET Thu, 29 Sept 2016",Jim Cramer explained why he thinks the OPEC deal is just chatter to stop oil from falling.
,,
Cramer: The negative effect that Deutsche Bank will have on your money," 7:23  PM ET Thu, 29 Sept 2016",Jim Cramer lays out three scenarios of how the Deutsche Bank drama could play out.
Here's why a single report on Deutsche Bank can hit the markets," 6:14  PM ET Thu, 29 Sept 2016",You might be wondering why a single headline on DB is sparking a sector-wide selloff.
"Cramer: If you're looking to invest in coal, here's my top pick"," 7:15  PM ET Wed, 28 Sept 2016","Jim Cramer rattles off his take on caller favorite stocks, including this play on metallurgical coal."
Cramer Remix: Deutsche Bank is in dreamland," 7:30  PM ET Wed, 28 Sept 2016",Jim Cramer dug into the problems surrounding Deutsche Bank and what it could mean for investors.
Cramer: The hidden culprit that tripped up Nike," 7:01  PM ET Wed, 28 Sept 2016",Jim Cramer points to one reason why Nike slipped up this quarter that no one is talking about.
Cramer: Bears need to eat some serious crow on Newell brands merger," 7:00  PM ET Wed, 28 Sept 2016",Jim Cramer called for bearish analysts that didn't back the Newell-Rubbermaid and Jarden merger to eat crow.
,,
Cramer: Three sectors are now the 'third rail of investing' — don't touch them!," 6:59  PM ET Wed, 28 Sept 2016","Jim Cramer compared the restaurant, retail and banking cohorts to where he thought they would be a year ago."
What could bring volatility back to the stock market," 4:48  PM ET Wed, 28 Sept 2016",Here's how to make money in a low-volatility environment.
Cramer Remix: Why anyone would want to buy Twitter," 7:28  PM ET Tue, 27 Sept 2016",Jim Cramer explained how Twitter’s suitors could use the platform to make profits.
Cramer's wake-up call for Donald Trump on NAFTA," 6:59  PM ET Tue, 27 Sept 2016",Jim Cramer issues a series of burning questions for Donald Trump to answer about U.S. trade agreements.
Cramer: This entire group is under fire right now," 6:53  PM ET Tue, 27 Sept 2016","Jim Cramer rattles off his take on caller favorite stocks, including this stock that's part of a group that can't stand the heat."
Thor Industries drives higher as younger buyers flock to the RV lifestyle," 6:57  PM ET Tue, 27 Sept 2016",Jim Cramer spoke with the CEO of Thor Industries following record sales of RVs on what could be steering growth.
Cramer: These are the new 'FANG' stocks," 9:11  AM ET Wed, 28 Sept 2016",Jim Cramer officially unveils his new acronym for red-hot growth stocks in the market.
Cramer: The one part of the whole energy complex I dislike," 7:01  PM ET Mon, 26 Sept 2016","Jim Cramer gives his opinion on various caller stocks, including the one segment of the oil patch he dislikes."
Cramer Remix: My pre-election investment strategy," 7:31  PM ET Mon, 26 Sept 2016",Jim Cramer explained why he thinks election fears might be overblown.
Cramer: Apple's opportunity for enormous market share right now," 7:07  PM ET Mon, 26 Sept 2016",Jim Cramer explains why he thinks the iPhone 7 will be the biggest component yet for Apple — thanks to Samsung.
GW Pharmaceuticals CEO: Pot-based epilepsy drug trial has taken a 'huge step'," 7:05  PM ET Mon, 26 Sept 2016",Jim Cramer spoke with the CEO of GW Pharmaceuticals following breakthrough results for its drug Epidiolex.
Cramer: Trump or Clinton won't impact stocks as much as you think," 7:03  PM ET Mon, 26 Sept 2016",Jim Cramer made the case as to why the stock market won't change if either candidate wins the White House.
Cramer Remix: Presidential debate won't be good for business," 7:19  PM ET Fri, 23 Sept 2016","Jim Cramer looked ahead to the presidential debate, and what it means for your money."
Cramer gets to the bottom of whether Twitter is really worth buying now," 7:00  PM ET Fri, 23 Sept 2016",Jim Cramer has a tough time recommending Twitter on a takeover basis.
,,
"Cramer: Yes, silver is poor man's gold"," 6:51  PM ET Fri, 23 Sept 2016","Jim Cramer quickly gives his opinion on caller favorite stocks, and why he thinks silver isn't up to snuff for a metal play."
Cramer tries to understand what happened to Ulta Salon," 6:58  PM ET Fri, 23 Sept 2016","Jim Cramer gets to the bottom of why Ulta's stock has been falling, and whether it is a broken stock or a broken company."
Cramer's game plan: October could be big for international stocks," 6:58  PM ET Fri, 23 Sept 2016",Jim Cramer prepares investors for the events and stocks he will be watching next week.
"Heading into the presidential debate, two key points to remember"," 5:53  PM ET Fri, 23 Sept 2016",Here's what traders are watching as we get closer to the first presidential debate on Monday.
Cramer Remix: Outrunning trading algorithms with the click of a button," 7:27  PM ET Thu, 22 Sept 2016",Jim Cramer’s explaining how to level the playing field with the help of Amazon.
Cramer: I overstayed my welcome on this stock," 2:44  PM ET Fri, 23 Sept 2016","Jim Cramer rattles off his take on caller favorite stocks, including one that he held on to for too long."
,,
Lululemon CEO explains why his stock can't be measured by traditional metrics," 6:59  PM ET Thu, 22 Sept 2016",Jim Cramer spoke with Laurent Potdevin about what makes Lululemon's brand unique so that it still appeals to mall customers.
Cramer begs Amazon's Jeff Bezos: You could transform the stock market," 6:33  PM ET Thu, 22 Sept 2016",Jim Cramer describes how Amazon could change how stocks are bought to let investors compete with high-frequency trading.
Cramer: ‘I was astonished’ Fed doomsayers got off the hook so easily," 6:14  PM ET Thu, 22 Sept 2016",Jim Cramer was disturbed by the drama over the Fed’s decision not to raise rates and says investors got faked out.
"Beyond just no rate hike, here's the real reason for today's rally"," 2:28  PM ET Thu, 22 Sept 2016","Investors cheered no rate hike from the Fed, but there's more than meets the eye to today's rally."
"Cramer: Don't sweat it, this stock goes to $200 in the long run"," 7:19  PM ET Wed, 21 Sept 2016","Jim Cramer rattles off his take on caller favorite stocks, including a semiconductor play on fire."
Cramer Remix: This tech growth story just got better," 7:36  PM ET Wed, 21 Sept 2016",Jim Cramer exposes a hidden technology play present in most of your devices and it's game-changing acquisition.
Allergan CEO says 'the American people deserve to be angry' at price gouging," 7:22  PM ET Wed, 21 Sept 2016","Jim Cramer spoke with Allergan CEO Brent Saunders on why the company will not engage in price gouging, and its latest acquisitions."
Cramer: Don't write off Disney — it has the power to turn around," 7:21  PM ET Wed, 21 Sept 2016",Jim Cramer says Disney's balance sheet gives it the ability to make any acquisition it wants.
Cramer: Needle-in-a-haystack growth plays in the Fed's low-growth environment," 7:20  PM ET Wed, 21 Sept 2016","Jim Cramer responded to the Federal Reserve meeting on Wednesday, and explained why he agrees with Janet Yellen."
Pisani: Does Fed's refusal to hike create a 'crisis of confidence'," 4:44  PM ET Wed, 21 Sept 2016","After the Fed leaves rates unchanged, traders wonder what's really keeping rates on hold."
Cramer: Enough already! Kroger is too low to sell," 7:10  PM ET Tue, 20 Sept 2016","Jim Cramer provides his opinion on various caller stocks, including the state of Kroger's stock."
Cramer Remix: Wells Fargo could be a top beneficiary of a rate hike," 7:16  PM ET Tue, 20 Sept 2016",Jim Cramer commented on the future of Wells Fargo’s stock following its CEO’s Senate hearing and ahead a rate hike decision.
"Cramer: Financial stocks that win, regardless of what the Fed says"," 7:14  PM ET Tue, 20 Sept 2016","Jim Cramer reviews the charts of payment processing plays like PayPal, Visa and Mastercard."
Etsy steps into the world of AI with Blackbird acquisition," 7:13  PM ET Tue, 20 Sept 2016","Jim Cramer spoke with Etsy's CFO on its latest acquisition of Blackbird, and how it will differentiate itself from competition."
